timestamp,n1_accx,n1_accy,n1_accz,n1_activity,n2_accx,n2_accy,n2_accz,n2_activity,n3_accx,n3_accy,n3_accz,n3_activity,n4_accx,n4_accy,n4_accz,n4_activity,n5_accx,n5_accy,n5_accz,n5_activity,n6_accx,n6_accy,n6_accz,n6_activity,n7_accx,n7_accy,n7_accz,n7_activity,n8_accx,n8_accy,n8_accz,n8_activity,n9_accx,n9_accy,n9_accz,n9_activity,n10_accx,n10_accy,n10_accz,n10_activity,n11_accx,n11_accy,n11_accz,n11_activity,n12_accx,n12_accy,n12_accz,n12_activity,n13_accx,n13_accy,n13_accz,n13_activity,n14_accx,n14_accy,n14_accz,n14_activity,n15_accx,n15_accy,n15_accz,n15_activity,n16_accx,n16_accy,n16_accz,n16_activity,n17_accx,n17_accy,n17_accz,n17_activity,n18_accx,n18_accy,n18_accz,n18_activity,n19_accx,n19_accy,n19_accz,n19_activity,n20_accx,n20_accy,n20_accz,n20_activity,n21_accx,n21_accy,n21_accz,n21_activity,n22_accx,n22_accy,n22_accz,n22_activity,n23_accx,n23_accy,n23_accz,n23_activity,n24_accx,n24_accy,n24_accz,n24_activity,n25_accx,n25_accy,n25_accz,n25_activity,n26_accx,n26_accy,n26_accz,n26_activity,n27_accx,n27_accy,n27_accz,n27_activity,n28_accx,n28_accy,n28_accz,n28_activity,n29_accx,n29_accy,n29_accz,n29_activity,n30_accx,n30_accy,n30_accz,n30_activity
0,8.926181435182936,-3.2897065817192734,4.020647368425337,0,8.779867338203717,-3.2064442062556724,3.750112079735192,0,8.878507653322488,-3.3624072109275365,3.7317441620640106,0,8.71365467763207,-3.335295189458407,3.9027004725123158,0,8.79857638007326,-3.2343496826134626,3.7742459885661255,0,8.808882467208662,-3.3792816371891363,4.0806493416246665,0,8.97218282613524,-3.3428636549186197,4.0080843665706185,0,8.783055376217938,-3.346486999644556,3.726814449784487,0,8.766149316380332,-3.4625694759095627,3.9853054300518513,0,8.745967724649839,-3.415369946434756,3.995377823470777,0,8.789008326417218,-3.251238872373009,3.9794232790281376,0,8.86618063043228,-3.369365826090367,3.7959431101644854,0,8.591002475915444,-3.4417837384269543,3.873421279830595,0,8.94087672799179,-3.2281354373406286,3.973733993112957,0,8.71954827898964,-3.2158070179356573,3.928765106954944,0,8.924244953734721,-3.199803937004063,3.785027694409311,0,8.698652225432049,-3.2913723889490503,3.971671652321243,0,8.707090644795603,-3.3288757955111374,4.005224496007368,0,8.78213730119837,-3.3691019323910862,3.8891019335970856,0,8.898141716081602,-3.286320459005451,3.8724773832299295,0,8.852296899021054,-3.3465240374874496,3.973520634755014,0,8.841452850240483,-3.2587491640458253,3.755852182013533,0,8.850107437820588,-3.1176031211883646,3.8652640815107073,0,8.587429384126777,-3.4335209388760934,3.9801102345500787,0,8.838640706488782,-3.288843219095079,3.9540731396129445,0,8.897157890876688,-3.2221406407677935,3.7249487518431748,0,8.756913553235433,-3.2199218776510046,3.833493540343367,0,8.780382068625839,-3.516420153736183,3.7869230467946844,0,8.673406194271637,-3.223495233658854,4.008726103216647,0,8.836706650814884,-3.3636309277470016,3.911392034651705,0
1,8.575556587355754,-3.927737422203451,3.2575556771843317,0,8.784779077550535,-3.7593565723502778,3.210991773175213,0,8.578276456639,-4.039322490342782,3.1934658776894715,0,8.59809547548353,-3.9147822500954166,3.2558161587615406,0,8.682112148428882,-3.7852714722392697,3.153958593662118,0,8.687789287625083,-4.0116200441038234,3.3667719826131117,0,8.735179978953967,-3.914389219862465,3.2825621384675836,0,8.555726850595294,-3.8810045296726723,3.233373142639089,0,8.541698635015486,-4.047061071079134,3.3258704461897572,0,8.351929194867484,-4.042102463824698,3.1697501504876726,0,8.699154532394756,-3.8762481532619537,3.499459909133703,0,8.642637945356789,-3.959993605689338,3.282472356207068,0,8.504297599365309,-4.09235947718524,3.3061136828142224,0,8.809893520205462,-3.8848960710644853,3.267398673094257,0,8.590604388451277,-3.82221987442494,3.1843023987344794,0,8.624600236240152,-3.8280730722472063,3.10478146716867,0,8.65680776012885,-3.8708284801126838,3.2139543537343296,0,8.591699608085912,-3.9646760890327597,3.403220518862116,0,8.623755740864086,-3.83419539673886,3.09983924201062,0,8.705721399680451,-3.9656386863116335,3.188243183681764,0,8.769199593089343,-3.865898944621642,3.179867663561131,0,8.604178093755186,-3.8847661391644537,3.184623110991582,0,8.642232609060503,-3.8698512775726974,3.1214338304632694,0,8.497721716615844,-4.0261285945653045,3.293490114239871,0,8.690034123261878,-3.9769031840668965,3.277086271352008,0,8.616174812113705,-4.114171892008745,3.0741032526846266,0,8.586458543878035,-3.8028021494986772,3.3542148406038654,0,8.575102009542322,-4.050395362253353,3.138407831082828,0,8.617416175134327,-3.888211625236366,3.1890564740677525,0,8.722996119726325,-3.933920184438787,3.2522598747523648,0
2,8.403297500147799,-3.404018321551061,3.530546506660231,0,8.493745223800106,-3.3343334268326528,3.257936161600651,0,8.507804690164216,-3.4849626890178627,3.1887220600972457,0,8.436522876855042,-3.5048403615921186,3.5050816883965976,0,8.50034803613412,-3.253724617295839,3.267568963245427,0,8.402759702295093,-3.421950853204706,3.460488532189283,0,8.5533333681309,-3.4182157638720487,3.6086985526885758,0,8.42661607239866,-3.421120036807455,3.2312751238175257,0,8.349741308605848,-3.5200793558950085,3.3079071973326455,0,8.355591016839886,-3.5180731192698325,3.2969462829220846,0,8.463282531469495,-3.335488890279053,3.51851363446809,0,8.408530117756523,-3.628895695706437,3.309093412146942,0,8.296008838709282,-3.6152072852602233,3.3584006606175962,0,8.497223154627266,-3.256292493725683,3.4835976559622486,0,8.398927388773169,-3.368863921288726,3.297572080228945,0,8.492121205535845,-3.3024432278616462,3.269240321688272,0,8.34107718044422,-3.417918745815674,3.3879475907364602,0,8.195217023271434,-3.434724091632892,3.5011416582035153,0,8.299120511032637,-3.200512095693969,3.2852367431702936,0,8.56278866852611,-3.4539161191423275,3.360521342495601,0,8.6300530550788,-3.3786351834260566,3.300455795880854,0,8.48450185115654,-3.4984668720673606,3.301466075003862,0,8.388640987826541,-3.3988229350682793,3.237286660669566,0,8.216887718056105,-3.5140946419969854,3.5694603076318074,0,8.496048936436612,-3.3543699306842982,3.3286069770940854,0,8.459115188194502,-3.601878522358726,3.2944039099046103,0,8.342125020699934,-3.460945424825041,3.455287673414123,0,8.339441152150195,-3.5141587674861983,3.2260238059834254,0,8.300093545357157,-3.3169018792092446,3.3945384360873962,0,8.489365927660975,-3.4139497699716856,3.411420204427758,0
3,8.622038317044668,-3.5311582702911513,3.47132457165104,0,8.687286511742593,-3.361007082275284,3.338766251420026,0,8.644270058287752,-3.6195524921642757,3.3132036930249606,0,8.468549895918597,-3.6453515764040936,3.4157282042220314,0,8.504023468848365,-3.4468865625905067,3.2249130011888933,0,8.441307511059959,-3.6087883236067286,3.517232393638692,0,8.680014470257992,-3.5016800441250773,3.38076803142245,0,8.452736392909108,-3.675599760919233,3.375244977359178,0,8.54881311090382,-3.7805007370185972,3.377917762111303,0,8.49574174109119,-3.68397847024003,3.3911483235047317,0,8.550567860065287,-3.4079072979814997,3.532325606241722,0,8.526476232069504,-3.6793633504331993,3.308866263768362,0,8.406866130992315,-3.6330088356153234,3.465272587869489,0,8.642276511030884,-3.4586281930788725,3.4485730315439134,0,8.5902731885388,-3.5547802501508876,3.3188303685981695,0,8.67345111033539,-3.54392962484271,3.31805200482947,0,8.44313817498394,-3.531992665320227,3.466551029648161,0,8.47774743556292,-3.5422897780330542,3.570896899162468,0,8.494028742087359,-3.4348694572316862,3.275058340652057,0,8.618246204053802,-3.665999187015619,3.254883436921514,0,8.704349788051166,-3.4091112687167704,3.356471919651825,0,8.62983585929384,-3.47302503149628,3.2609159133839367,0,8.462118708963914,-3.4045258362604645,3.31317214477026,0,8.369536602894463,-3.6349302134716805,3.3491629787311084,0,8.69701136013279,-3.5512401046092044,3.454694142629298,0,8.625342298591773,-3.6671743539057573,3.2492867234425296,0,8.447653808031395,-3.4096716557826303,3.377202801084475,0,8.536444762341983,-3.5945926050898116,3.3134676399297804,0,8.515511007925396,-3.4545731880480144,3.455801407495914,0,8.624799833691243,-3.5539033528217963,3.4613925086038044,0
4,8.506572754814403,-3.431923817563075,3.441122195932565,0,8.695674373003563,-3.2473586543225537,3.398301492273976,0,8.512467716714212,-3.457158044906394,3.2615180965095307,0,8.367424516508851,-3.4296274081151528,3.4582076332949225,0,8.51936722522041,-3.2361594421612545,3.233943180315225,0,8.427953703062729,-3.497767828046372,3.622014023585255,0,8.375704020298265,-3.4404812550685824,3.463256927566035,0,8.293425984084976,-3.4250578416513457,3.3493010728976165,0,8.343984018910852,-3.4889036921902488,3.288327680285778,0,8.304105399285168,-3.4604368417278355,3.4419147477135184,0,8.269969942793137,-3.3867029175776704,3.4770128526374005,0,8.630564965764167,-3.5684090991488335,3.390390468310901,0,8.307190091124887,-3.5003210012662813,3.372982658144644,0,8.573980649233954,-3.3384437319626117,3.404659841365553,0,8.421067252559459,-3.40523127541635,3.2792070689537347,0,8.556171310870326,-3.3444898209274303,3.161310550404348,0,8.435784333561802,-3.463777936098377,3.505378942850816,0,8.295703232014523,-3.4300963495591277,3.606429776246499,0,8.468583459916372,-3.3309921548556827,3.2235531224405722,0,8.526089605936502,-3.4794379847148234,3.364148343648946,0,8.570008882251464,-3.2747831929216558,3.3862460580183584,0,8.51191228003319,-3.306487546016791,3.252712389159172,0,8.33932846624629,-3.280592526088066,3.2923708461835575,0,8.287979238996655,-3.4920730723859688,3.5407836206444814,0,8.53818535720063,-3.4782525651106444,3.438306051297725,0,8.525560802914981,-3.4609280076242155,3.233402549169595,0,8.316278104732545,-3.309033720882346,3.495794961145833,0,8.426883336660808,-3.5765500946001136,3.3510468023993307,0,8.37076462041317,-3.282055747840214,3.4362966020296284,0,8.546663320065107,-3.3728536759851986,3.4703096845607257,0
5,8.724001009007946,-3.5335063816655796,4.279736435733385,0,8.732355203537317,-3.4231150926758063,3.9758197545697365,0,8.657053495225805,-3.5938952207818575,3.984761297209375,0,8.595463558502642,-3.5562135829675974,4.14652487548273,0,8.654709250562382,-3.40656720674645,3.9630043487301503,0,8.664695326958716,-3.7231400679217876,4.29181862462273,0,8.7431400843136,-3.536220147849608,4.092891623286066,0,8.603411376738528,-3.6441825587197134,4.060197484027758,0,8.725810624884351,-3.74072980997879,4.127120654312771,0,8.485169083481505,-3.7032007249649888,4.1571244257689095,0,8.501985456970905,-3.44068804536531,4.1614253083910056,0,8.716030087460284,-3.7693025687021833,4.03082873529001,0,8.513031400292729,-3.6489295930344348,4.118650737764797,0,8.732285076222764,-3.4097970345050035,4.08328572280205,0,8.60075080373818,-3.4534163167725693,4.0508723714277,0,8.702508985167631,-3.5446816692334453,3.959954730280174,0,8.619172474977333,-3.644159301635301,4.139146455242916,0,8.601968962790522,-3.622278503341606,4.263859413565874,0,8.546800549832838,-3.5595712492208014,3.9627066330596157,0,8.742348104736292,-3.693156099630227,4.126895143720326,0,8.81275340673897,-3.5772557281260267,4.144127664671038,0,8.690499878862969,-3.37966208602718,3.9923823765966846,0,8.59269589418896,-3.462851002263739,3.9178946165699915,0,8.48748215473194,-3.670387493209713,4.185240890597771,0,8.777831971432704,-3.588051669595257,4.086265829350351,0,8.656778151331238,-3.5488295888598618,3.9237547025060833,0,8.677729534354022,-3.4240792170367,4.127948319520819,0,8.601536648433274,-3.721641388450744,4.077721328623072,0,8.589073836241628,-3.454918303321764,4.10566310142453,0,8.76565925490227,-3.6456220818955525,4.117169210610474,0
6,8.932195417061719,-3.2112502101773828,3.144699391632401,0,8.986649620345473,-3.052384902162588,2.866134158003977,0,8.908717207046001,-3.2978023377461474,3.0037731539347168,0,8.811877002051578,-3.3355158310442183,3.123762416354247,0,8.994491279958533,-3.1148710194356726,2.88344772497128,0,8.879167272358176,-3.2226001015377386,3.1634894575045416,0,8.941424718775906,-3.194295679361299,3.1072146321449385,0,8.832375938987296,-3.2215568683516924,2.9487213537977106,0,8.8807288278666,-3.3810199195899875,3.0551779393238476,0,8.760997680489709,-3.309225394985419,3.042873156070153,0,8.936077198622087,-3.134624652211825,3.1099657943601398,0,8.905055838692551,-3.2867701820730124,2.911281018291443,0,8.708526872864777,-3.381093020470373,3.0063680698248674,0,9.064054847784654,-3.138939948778945,3.016303313357492,0,8.966739618583617,-3.2719051168755295,2.915298343349476,0,8.996948037929608,-3.24446344101401,2.803178766033201,0,8.783123012907685,-3.228241885302409,3.1559962533513297,0,8.984682299085403,-3.267603209594192,3.1884925626813327,0,8.933941769307244,-3.0472601800313783,2.9311350534582994,0,8.97492310859652,-3.1938937004700505,2.9996254673611786,0,9.076892220832915,-3.1968263257035416,2.918731997554048,0,8.94277915013871,-3.0532695713310884,2.9199231358093005,0,8.820433429664524,-3.155719363798347,2.9426183864428936,0,8.77463269982721,-3.3976863335975804,3.188411976753245,0,9.041673372841071,-3.1724500512580316,3.0062195958067432,0,8.929450157030006,-3.296704304456132,2.893123304973886,0,8.8815278589218,-3.121443870956046,3.043896319069598,0,8.847395404288708,-3.3898056894652293,2.9853824907759083,0,8.802834046520273,-3.114738230560262,3.0266425157146766,0,8.838592405678616,-3.139640931667722,3.0495645748666846,0
7,8.916518437629179,-3.623049878872983,3.043370738563499,0,8.899415155909617,-3.3052126565001014,3.063376694966008,0,8.909412321613447,-3.484417753953645,2.9818487052805667,0,8.695482625273629,-3.5924156006522483,3.1381734888175927,0,8.85962652933244,-3.34656198081809,2.902758855600806,0,8.811965348200673,-3.6485220083761245,3.0646370859102077,0,8.83672667968065,-3.5782132338006836,3.0838049758819923,0,8.618750301353474,-3.5982819993049855,3.046512296083095,0,8.810953556542291,-3.58673273598786,3.125661135992961,0,8.53278592720553,-3.725119447007978,2.990115835839967,0,8.849766313529376,-3.440071926313759,3.1338840958805667,0,8.914264527276892,-3.6208729844900858,2.929120013359327,0,8.579028757800257,-3.640185433625761,3.0456312220056305,0,8.946284400634795,-3.5275959519641784,3.2030806175660906,0,8.776299093985788,-3.3978833160221695,3.030300288501451,0,8.959374135073848,-3.4946543434853026,2.865288400098762,0,8.723099852190083,-3.6076876783923977,3.1347648820550487,0,8.794914279804885,-3.457246833344483,3.2220916981768397,0,8.711548618637245,-3.4698261422678973,2.9393099009993535,0,8.891431775857903,-3.6246997075728435,2.9892207166135387,0,8.841772858249962,-3.5449636157051123,2.858529201262385,0,8.80785200478301,-3.401586018984177,2.8118485594270934,0,8.786859307851442,-3.477372258800412,2.9950994836820306,0,8.644463774153305,-3.686733890845979,2.975941571246795,0,8.877528291810869,-3.5196863400040463,3.0770474517220383,0,8.852525218596096,-3.6393259804815097,2.8599659945156226,0,8.821950666107703,-3.3322630987601474,3.0450543857638337,0,8.74998144289723,-3.734955644657924,2.8308733508624875,0,8.744349546700974,-3.5052338144820965,3.1171257154403507,0,8.796150466326308,-3.486613732441735,3.0182755241382253,0
8,8.60442429910084,-3.6969790478595463,3.5070180594888223,0,8.645532370742876,-3.6328813700434215,3.265148871993023,0,8.451185256366573,-3.778351895242554,3.296669647778967,0,8.448626808360933,-3.8297491823108403,3.4158012850030066,0,8.599402896457898,-3.661046080218351,3.172962156416055,0,8.46256182539078,-3.8341104858281,3.3535770066949584,0,8.668963083607274,-3.6665570331113146,3.2808466720376606,0,8.358585301508674,-3.749140187212331,3.3170582029392874,0,8.368059793209198,-4.022703360255964,3.205359852613237,0,8.367542630450908,-3.8385689421391054,3.308955525303532,0,8.479830207932707,-3.698918285742186,3.5339236671780254,0,8.51938877344326,-3.8680210369098504,3.210103722740588,0,8.370179509889494,-3.8761784303592015,3.427244940697925,0,8.450070430161778,-3.610479576441724,3.3296926938994362,0,8.445320918513065,-3.645642969495686,3.2799756826074424,0,8.518737002730196,-3.7391651975190072,3.084078752992371,0,8.308265763916621,-3.7808797650401926,3.30708371970508,0,8.361282440408369,-3.644834644329254,3.468061517057234,0,8.522964828658047,-3.735129548372773,3.2319053802094837,0,8.576938911104007,-3.8188763376066515,3.25663477371113,0,8.59039752422171,-3.753202188000613,3.2937119887929347,0,8.462373594964761,-3.621378188015355,3.1978468653427443,0,8.447153787031755,-3.6632342243319616,3.3364375720871147,0,8.331966209706389,-3.9814018190031253,3.4362147609612825,0,8.662268676371726,-3.719765095689642,3.3002112011354288,0,8.599212378093394,-3.844038512841498,3.0967223197451523,0,8.445174757922933,-3.7406028038467296,3.291595528035374,0,8.40000558400555,-4.029935794133122,3.2190975980881467,0,8.358009409155594,-3.522965621269587,3.3518590729728146,0,8.53566070379489,-3.7608428779935825,3.3223153833124046,0
9,8.734969193132397,-3.508439225284118,3.9787036315616424,0,8.725545316348883,-3.344798318754937,3.7576888860011914,0,8.778977413509098,-3.5509481901930298,3.860089787855124,0,8.608282060682589,-3.4848946434339902,3.8893915560354406,0,8.792052744426995,-3.1727954328638774,3.688220407705894,0,8.604023677865936,-3.392155571316781,3.794588874377401,0,8.731250152752022,-3.4744488725833054,3.8582696699820267,0,8.550930739648846,-3.470019295225834,3.7815468773901366,0,8.592637006791529,-3.5672386332267374,3.7860524009201812,0,8.573540367746949,-3.6097262907834153,3.822230325679899,0,8.601521879891946,-3.434996965732008,4.018980701654096,0,8.682313143512872,-3.6438356219336145,3.7208361550859883,0,8.488676260934211,-3.499033598127601,3.934211287758945,0,8.82498097009531,-3.41326842981421,3.9282324583847994,0,8.717652885569015,-3.389053718922499,3.6914610094611886,0,8.76148276899968,-3.4411870154747053,3.5899776311861706,0,8.588030783740184,-3.475691747058723,3.8154494763803983,0,8.582988781114299,-3.4674416565505632,3.9912775021973546,0,8.58214187194255,-3.4285029940077263,3.6793244211493916,0,8.768939127417006,-3.6162740378672913,3.7679201713346115,0,8.836847876305264,-3.381208987111337,3.930129861586705,0,8.801605005671414,-3.309426601901512,3.7675892796359576,0,8.662658444454893,-3.4197303305585356,3.791137106950847,0,8.523447155022382,-3.632615738169214,3.9810779341566374,0,8.754731669818856,-3.4790799259031266,3.7721827232771714,0,8.853679083985202,-3.539240634663972,3.6429213289919855,0,8.626618471767296,-3.2956797350536875,3.798506807502623,0,8.526764284617546,-3.539403607605393,3.7050835143482685,0,8.541516101019944,-3.3430774244085875,3.894921624309803,0,8.63949360137339,-3.465978031815627,3.872503629716491,0
